signal_date,cross_section,hf_file_codes_in_xs,factor_rows,valid_four_factor,factor_coverage
2019-04-30,2239,1994,1577,1502,0.6708351942831621
2019-10-31,2290,2044,1806,1768,0.7720524017467248
2020-04-29,2327,2083,1740,1664,0.7150837988826816
2020-10-30,2363,2131,1903,1862,0.7879813796022006
2021-04-30,2421,2188,1803,1720,0.7104502271788518
2021-10-29,2461,2234,2036,1984,0.8061763510767981
2022-04-29,2498,2276,1714,1639,0.6561248999199359
2022-10-31,2539,2313,2129,2084,0.8207955888144939
2023-04-28,2533,2306,1975,1857,0.7331227793130675
2023-10-31,2584,2370,2108,1999,0.7736068111455109
2024-04-30,2631,2440,2328,2174,0.8263017863930064
2024-10-31,2674,2496,2361,2245,0.8395661929693343
2025-04-30,2710,2559,1879,1807,0.6667896678966789
2025-10-31,2707,2586,2201,2113,0.7805688954562247
2026-04-30,2720,2607,2461,1924,0.7073529411764706
