Code,Name,Market,Marcap,Amount,Volume,Close,fs_div,equity,revenue_q,net_income_q,ocf_q,EY,EY_rank,BY,BY_rank,CFY,CFY_rank,SY,SY_rank,avg_rank,overall_rank,signal_date,target_weight
004960,한신공영,KOSPI,211165311500.0,145527550.0,7999.0,18250.0,CFS,446036783562.0,512424664987.0,46862556721.0,61866091712.0,0.8876942218987516,6.0,2.112263517116541,30.0,1.1718987606920468,39.0,9.706606854071294,38.0,28.25,1,2019-04-30,0.05
010100,한국프랜지,KOSPI,53440487100.0,46497605.0,26665.0,1755.0,CFS,220378356300.0,76214944844.0,6322206430.0,28104383707.0,0.47321473085899324,27.0,4.123808899563716,1.0,2.103602360840008,14.0,5.704659443046132,103.0,36.25,2,2019-04-30,0.05
023960,에쓰씨엔지니어링,KOSPI,47281349430.0,99733475.0,52393.0,1890.0,OFS,43011648544.0,126401669612.0,9655299430.0,21116346303.0,0.8168378903224548,8.0,0.9096958750654677,163.0,1.7864419317610833,18.0,10.693575469891153,31.0,55.0,3,2019-04-30,0.05
004140,동방,KOSPI,71281702440.0,2793943980.0,1329400.0,2130.0,CFS,130187333259.0,130312159228.0,11889358562.0,10958791727.0,0.6671759037746124,15.0,1.8263780016839901,48.0,0.6149567898563787,112.0,7.312516663736406,65.0,60.0,4,2019-04-30,0.05
009200,무림페이퍼,KOSPI,148961329800.0,456856305.0,127671.0,3580.0,CFS,142220435281.0,276686324084.0,14525719976.0,56432919081.0,0.39005344529355834,32.0,0.9547473526985122,156.0,1.515370980019272,26.0,7.4297490350143205,61.0,68.75,5,2019-04-30,0.05
306200,세아제강,KOSPI,183224980000.0,174693000.0,2727.0,64600.0,OFS,553451800713.0,352141231300.0,8338643845.0,24798933742.0,0.18204163744485058,115.0,3.0206132412349014,9.0,0.5413876152039967,131.0,7.687624936294167,58.0,78.25,6,2019-04-30,0.05
024900,덕양산업,KOSPI,46079446700.0,193812100.0,136469.0,1415.0,CFS,20170399321.0,388477869381.0,3195862430.0,41656600622.0,0.2774219448255658,52.0,0.4377309357102155,297.0,3.616067779043015,5.0,33.722442190782644,2.0,89.0,7,2019-04-30,0.05
012450,한화에어로스페이스,KOSPI,1608036000000.0,4365810350.0,141251.0,30900.0,CFS,2635750421463.0,1653891546152.0,70087858328.0,282071874502.0,0.174344003064608,128.0,1.6391115755262942,67.0,0.7016556208990345,85.0,4.114065969050444,169.0,112.25,8,2019-04-30,0.05
124500,아이티센,KOSDAQ,80687783275.0,249280145.0,50109.0,4985.0,CFS,1988474208.0,427330946826.0,14804969645.0,37537189800.0,0.7339385985876807,11.0,0.02464405548511458,533.0,1.8608611255097094,17.0,21.184418730135203,8.0,142.25,9,2019-04-30,0.05
001940,KISCO홀딩스,KOSPI,251278768000.0,152304150.0,11290.0,13600.0,CFS,171248405961.0,362716945810.0,16634900174.0,25756025866.0,0.2648039117097231,56.0,0.6815076630788002,219.0,0.4099992382324956,204.0,5.7739370293315035,99.0,144.5,10,2019-04-30,0.05
