Code,Name,Market,Marcap,Amount,stock_code,year,quarter,available_date,equity,operating_cashflow,net_income,revenue,quarter_end,EY,BY,CFY,SY,EY_rank,BY_rank,CFY_rank,SY_rank,avg_rank,signal_date,exec_tradeable,execution_date
000880,한화,KOSPI,2799708752250.0,8264490250.0,000880,2016,Q2,2016-08-16,15153896000000.0,3469442000000.0,428127000000.0,10864899000000.0,2016-06-30,0.6116736244881666,5.412668724138357,4.956861312394392,15.522898931924072,18.0,7.0,2.0,8.0,8.75,2016-10-31,True,2016-11-01
058650,세아홀딩스,KOSPI,480000000000.0,76982500.0,058650,2016,Q2,2016-08-16,2861583776740.0,222221515912.0,55893046696.0,1039521706752.0,2016-06-30,0.46577538913333333,5.9616328682083335,1.8518459659333333,8.6626808896,28.0,3.0,15.0,40.0,21.5,2016-10-31,True,2016-11-01
001230,동국제강,KOSPI,780224391900.0,1469491610.0,001230,2016,Q2,2016-08-16,2457731113000.0,365556677000.0,129605743000.0,1424470788000.0,2016-06-30,0.6644536845836593,3.1500311173493833,1.874110477934675,7.302877494158485,13.0,36.0,14.0,52.0,28.75,2016-10-31,True,2016-11-01
004140,동방,KOSPI,45200337000.0,570045120.0,004140,2016,Q2,2016-08-16,135578281991.0,12698627098.0,17770927541.0,142598636481.0,2016-06-30,1.572636729765975,2.9994971495677123,1.123763931052107,12.619254275117463,4.0,42.0,59.0,14.0,29.75,2016-10-31,True,2016-11-01
010100,한국프랜지,KOSPI,88306218000.0,163964650.0,010100,2016,Q2,2016-08-16,286079270050.0,34229384883.0,7359570621.0,308561565105.0,2016-06-30,0.3333659073022468,3.239627701528334,1.550485827985522,13.976889604987953,49.0,33.0,25.0,12.0,29.75,2016-10-31,True,2016-11-01
007860,서연,KOSPI,249583544400.0,1301812750.0,007860,2016,Q2,2016-08-16,1027343294528.0,56426538302.0,48869122409.0,814105427994.0,2016-06-30,0.783210648386,4.116230086393468,0.9043310677817267,13.047421534959177,12.0,17.0,85.0,13.0,31.75,2016-10-31,True,2016-11-01
001940,KISCO홀딩스,KOSPI,227259474000.0,141020200.0,001940,2016,Q2,2016-08-16,1248801452550.0,82839068306.0,37662207602.0,290804391608.0,2016-06-30,0.6628935100325014,5.495046831578955,1.4580526276497499,5.118455771978069,14.0,5.0,29.0,98.0,36.5,2016-10-31,True,2016-11-01
000150,두산,KOSPI,2180266020000.0,3672492500.0,000150,2016,Q2,2016-08-16,7975009089525.0,540523262271.0,186420649819.0,4070954414166.0,2016-06-30,0.34201450301738867,3.6578146961740936,0.9916647919339677,7.468729736320892,46.0,22.0,71.0,50.0,47.25,2016-10-31,True,2016-11-01
036530,S&T홀딩스,KOSPI,237451575000.0,376449100.0,036530,2016,Q2,2016-08-04,1541613801942.0,79496202146.0,12995342624.0,378473263610.0,2016-06-30,0.21891356372767795,6.492329233621634,1.3391564515164829,6.375586493540841,113.0,1.0,40.0,65.0,54.75,2016-10-31,True,2016-11-01
013580,계룡건설,KOSPI,130391242200.0,97271350.0,013580,2016,Q2,2016-08-16,322317473013.0,74785222886.0,6391381828.0,478857641391.0,2016-06-30,0.19606782542025664,2.471925779483064,2.2941793213777664,14.689871292322115,140.0,74.0,9.0,10.0,58.25,2016-10-31,True,2016-11-01
097230,한진중공업,KOSPI,413604781200.0,846517920.0,097230,2016,Q2,2016-08-16,1230559000000.0,60852000000.0,83149000000.0,853477000000.0,2016-06-30,0.8041396403470783,2.9752049684477875,0.5885038352163033,8.254034177494658,11.0,43.0,187.0,44.0,71.25,2016-10-31,True,2016-11-01
123040,엠에스오토텍,KOSDAQ,65678792970.0,120090945.0,123040,2016,Q2,2016-08-12,109250239778.0,27981809340.0,5356534298.0,191921657225.0,2016-06-30,0.32622611079023306,1.6634020638579954,1.704160997768714,11.688500871973318,52.0,227.0,19.0,17.0,78.75,2016-10-31,True,2016-11-01
032190,다우데이타,KOSDAQ,376635000000.0,705607850.0,032190,2016,Q2,2016-08-16,1623657825976.0,305430371981.0,30293214740.0,308602189966.0,2016-06-30,0.32172490331488046,4.310958423874574,3.243781082278599,3.2774669371248026,54.0,15.0,4.0,247.0,80.0,2016-10-31,True,2016-11-01
002030,아세아,KOSPI,220197912000.0,226614300.0,002030,2016,Q2,2016-08-12,1182055643685.0,33347770149.0,22253357754.0,285648811580.0,2016-06-30,0.4042428477523438,5.368151009919658,0.6057781356073894,5.188946779477182,37.0,10.0,178.0,96.0,80.25,2016-10-31,True,2016-11-01
002220,한일철강,KOSPI,46716000000.0,388224500.0,002220,2016,Q2,2016-08-12,260982320830.0,6882613142.0,4285756296.0,61500312903.0,2016-06-30,0.3669626077575135,5.5865724982875244,0.5893152788766162,5.26588859517082,43.0,4.0,186.0,92.0,81.25,2016-10-31,True,2016-11-01
017940,E1,KOSPI,417088000000.0,254596000.0,017940,2016,Q2,2016-08-16,1275154897645.0,63371105673.0,26323136063.0,956306054232.0,2016-06-30,0.25244683196831363,3.0572802325768182,0.6077480596229093,9.17126413833052,82.0,39.0,175.0,33.0,82.25,2016-10-31,True,2016-11-01
012800,대창,KOSPI,84760664070.0,589512791.0,012800,2016,Q2,2016-08-12,181411287708.0,17183608661.0,5286919741.0,225272409636.0,2016-06-30,0.24949874090810673,2.140276857177294,0.8109237391915115,10.630988424062261,83.0,123.0,107.0,24.0,84.25,2016-10-31,True,2016-11-01
024910,경창산업,KOSDAQ,88151200000.0,127033225.0,024910,2016,Q2,2016-08-16,147470368574.0,62626765205.0,6789437006.0,165517516262.0,2016-06-30,0.3080814330831571,1.6729252531332528,2.841788436459175,7.510618857689969,60.0,222.0,8.0,49.0,84.75,2016-10-31,True,2016-11-01
037350,성도이엔지,KOSDAQ,74093100000.0,459991915.0,037350,2016,Q2,2016-08-12,173040996617.0,16068978514.0,4029767452.0,106263093808.0,2016-06-30,0.21755156428871245,2.335453593074119,0.8675020218616848,5.736733585610536,114.0,92.0,95.0,82.0,95.75,2016-10-31,True,2016-11-01
004560,현대비앤지스틸,KOSPI,173406326500.0,962490850.0,004560,2016,Q2,2016-08-16,337093449116.0,69668096782.0,13693344081.0,167749375107.0,2016-06-30,0.3158672317759987,1.9439512728274075,1.607048559027055,3.8695099191089777,56.0,151.0,24.0,175.0,101.5,2016-10-31,True,2016-11-01
122690,서진오토모티브,KOSDAQ,75913769125.0,78971500.0,122690,2016,Q4,2017-03-31,212537969759.0,57006755845.0,13770507561.0,366142705425.0,2016-12-31,0.7255868188194113,2.799728852996798,3.003763691465899,19.29255836696015,8.0,46.0,13.0,6.0,18.25,2017-04-28,True,2017-05-02
038110,에코플라스틱,KOSDAQ,55265729130.0,107193315.0,038110,2016,Q4,2017-03-31,136505900843.0,67764858758.0,9572309363.0,304698039493.0,2016-12-31,0.6928206332342657,2.469991855565699,4.904656815336582,22.0533082103209,9.0,70.0,6.0,5.0,22.5,2017-04-28,True,2017-05-02
010770,평화홀딩스,KOSPI,52797932260.0,37978465.0,010770,2016,Q4,2017-03-31,157682312532.0,27609344990.0,4069590488.0,164460386824.0,2016-12-31,0.3083143838254548,2.986524391817158,2.0916989592728417,12.459608153904624,57.0,42.0,28.0,18.0,36.25,2017-04-28,True,2017-05-02
053700,삼보모터스,KOSDAQ,88630863700.0,406245070.0,053700,2016,Q4,2017-03-31,181954415259.0,47373711186.0,17418578189.0,241194535450.0,2016-12-31,0.7861179486170347,2.052946430431773,2.1380232216331208,10.88535191381645,6.0,129.0,27.0,23.0,46.25,2017-04-28,True,2017-05-02
001390,KG케미칼,KOSPI,158604461600.0,90161400.0,001390,2016,Q3,2017-02-10,516131964347.0,81694085804.0,10010093075.0,245821200026.0,2016-09-30,0.2524542619802317,3.2542083566897593,2.060322515013033,6.199603656698142,87.0,30.0,29.0,72.0,54.5,2017-04-28,True,2017-05-02
009410,태영건설,KOSPI,482848000000.0,323602430.0,009410,2016,Q4,2017-03-31,1261379125469.0,218041017327.0,28283831352.0,674712436617.0,2016-12-31,0.23430836496785737,2.6123730976808437,1.8062911502336139,5.589439630003645,109.0,58.0,44.0,92.0,75.75,2017-04-28,True,2017-05-02
004140,동방,KOSPI,61307683450.0,136223285.0,004140,2016,Q3,2016-11-14,136839856667.0,47599634250.0,2302662059.0,143992348543.0,2016-09-30,0.15023644211759887,2.232018059834228,3.1056227586103646,9.39473426102842,228.0,93.0,10.0,35.0,91.5,2017-04-28,True,2017-05-02
123040,엠에스오토텍,KOSDAQ,79861921020.0,121591190.0,123040,2016,Q4,2017-03-29,125262787880.0,14036316339.0,13786351780.0,201211486150.0,2016-12-31,0.690509399419403,1.56849204577273,0.7030292364484874,10.077968753073703,10.0,259.0,137.0,27.0,108.25,2017-04-28,True,2017-05-02
001620,동국실업,KOSPI,81471439440.0,1240584610.0,001620,2016,Q4,2017-03-31,191693376460.0,8861763908.0,4651354453.0,175202705411.0,2016-12-31,0.22836736333475538,2.352890507122725,0.43508566775851726,8.601920212298634,114.0,84.0,244.0,41.0,120.75,2017-04-28,True,2017-05-02
039020,이건홀딩스,KOSDAQ,53654907110.0,17695360.0,039020,2016,Q4,2017-03-24,97313894920.0,23144928909.0,2081802730.0,52212865263.0,2016-12-31,0.15519942850572946,1.8136998116592211,1.7254659568452657,3.892495063383961,217.0,171.0,47.0,181.0,154.0,2017-04-28,True,2017-05-02
000270,기아차,KOSPI,14126912642950.0,32430360800.0,000270,2016,Q3,2016-11-14,25582948000000.0,4159175000000.0,664368000000.0,12698855000000.0,2016-09-30,0.18811413839429414,1.8109369433077867,1.1776600040280212,3.59564904829714,151.0,174.0,72.0,220.0,154.25,2017-04-28,True,2017-05-02
011560,세보엠이씨,KOSDAQ,88346700000.0,194501600.0,011560,2016,Q4,2017-03-31,117331804524.0,32425593838.0,4297912157.0,134704608650.0,2016-12-31,0.19459299133980104,1.3280836129023494,1.4681066225676793,6.098908443665694,144.0,378.0,54.0,78.0,163.5,2017-04-28,True,2017-05-02
005390,신성통상,KOSPI,169575900200.0,330651455.0,005390,2016,Q2,2017-02-14,225475420933.0,28608787796.0,12333174277.0,260712679765.0,2016-06-30,0.2909180906592056,1.3296430723178907,0.6748314533435099,6.1497578242547934,67.0,376.0,146.0,77.0,166.5,2017-04-28,True,2017-05-02
076080,웰크론한텍,KOSDAQ,56947285880.0,353618975.0,076080,2016,Q4,2017-03-31,93800114343.0,48519822578.0,2732965837.0,41702757841.0,2016-12-31,0.19196460690041933,1.6471393305847222,3.4080516272709853,2.9292182899726984,145.0,234.0,9.0,286.0,168.5,2017-04-28,True,2017-05-02
054090,삼진엘앤디,KOSDAQ,66532581300.0,326820820.0,054090,2016,Q4,2017-03-30,98816014113.0,7635480837.0,4209003968.0,66974246203.0,2016-12-31,0.25304919098336565,1.485227420644207,0.45905213282323076,4.026553300315134,86.0,288.0,224.0,173.0,192.75,2017-04-28,True,2017-05-02
005710,대원산업,KOSDAQ,138860568000.0,76622380.0,005710,2016,Q4,2017-03-31,221444272333.0,6138597237.0,12859016861.0,239019376128.0,2016-12-31,0.37041521711188735,1.59472394159442,0.17682765742395637,6.885161988621564,39.0,249.0,437.0,58.0,195.75,2017-04-28,True,2017-05-02
016590,신대양제지,KOSPI,108919021550.0,238426900.0,016590,2016,Q3,2016-11-14,263905102978.0,15760004116.0,7730007282.0,58444932527.0,2016-09-30,0.2838808932359529,2.4229477938970705,0.578778762119719,2.146362745286707,70.0,79.0,176.0,466.0,197.75,2017-04-28,True,2017-05-02
021820,세원정공,KOSPI,190000000000.0,65709900.0,021820,2016,Q2,2017-02-14,574510892423.0,32986590308.0,13305526877.0,89048554192.0,2016-06-30,0.28011635530526313,3.0237415390684212,0.6944545328,1.8747064040421053,73.0,41.0,140.0,541.0,198.75,2017-04-28,True,2017-05-02
042370,비츠로테크,KOSDAQ,113781213570.0,303635070.0,042370,2016,Q2,2017-02-14,187084062926.0,14269209218.0,18310053731.0,74200181846.0,2016-06-30,0.6436933886185127,1.6442438699329123,0.50163673844879,2.608521372479504,12.0,235.0,207.0,345.0,199.75,2017-04-28,True,2017-05-02
002220,한일철강,KOSPI,46920000000.0,27694500.0,002220,2016,Q3,2016-11-14,262618599735.0,1156014248.0,2203530360.0,58932830916.0,2016-09-30,0.18785425063938618,5.597156857097187,0.09855193930093777,5.024111757544757,152.0,4.0,558.0,109.0,205.75,2017-04-28,True,2017-05-02
058650,세아홀딩스,KOSPI,630000000000.0,31378000.0,058650,2017,Q2,2017-08-14,3009199201966.0,117992884971.0,62981691079.0,1210056027637.0,2017-06-30,0.3998837528825397,4.7765066697873015,0.7491611744190476,7.682895413568254,41.0,11.0,90.0,57.0,49.75,2017-10-31,True,2017-11-01
009200,무림페이퍼,KOSPI,104023275000.0,49942465.0,009200,2017,Q2,2017-08-14,606918361736.0,77300175984.0,4987918014.0,254350864289.0,2017-06-30,0.1918000760502878,5.834447740046639,2.9724184701548766,9.780536684275706,172.0,3.0,4.0,32.0,52.75,2017-10-31,True,2017-11-01
001940,KISCO홀딩스,KOSPI,295252552400.0,162420200.0,001940,2017,Q2,2017-08-14,1319049087363.0,76347397593.0,35170420448.0,315757119671.0,2017-06-30,0.4764791384475767,4.4675281437567005,1.0343334473812325,4.277790211862026,29.0,15.0,51.0,168.0,65.75,2017-10-31,True,2017-11-01
004980,성신양회,KOSPI,128685463520.0,165654140.0,004980,2017,Q2,2017-08-14,330803938396.0,41410884117.0,11643970841.0,181258443690.0,2017-06-30,0.3619358557678994,2.570639521724901,1.287196952453422,5.6341544330476525,55.0,78.0,35.0,101.0,67.25,2017-10-31,True,2017-11-01
036710,심텍홀딩스,KOSDAQ,94218749100.0,276152875.0,036710,2017,Q2,2017-08-11,211900123991.0,74614636709.0,5366714639.0,198962781697.0,2017-06-30,0.22784062366627197,2.249022896346222,3.167719266992476,8.446844544107835,121.0,116.0,3.0,47.0,71.75,2017-10-31,True,2017-11-01
032190,다우데이타,KOSDAQ,413640000000.0,1224858100.0,032190,2017,Q2,2017-08-16,1940474391085.0,148827325128.0,55837974120.0,362863130077.0,2017-06-30,0.5399668709022338,4.691215528200851,1.4391966456628953,3.5089752449182865,23.0,14.0,30.0,244.0,77.75,2017-10-31,True,2017-11-01
009410,태영건설,KOSPI,655512000000.0,810349290.0,009410,2017,Q2,2017-08-14,1410494990848.0,185250428737.0,63844021525.0,804254406642.0,2017-06-30,0.38958262564224605,2.151745491841492,1.1304167047254665,4.9076410905795775,46.0,134.0,43.0,136.0,89.75,2017-10-31,True,2017-11-01
004140,동방,KOSPI,57404807050.0,146190025.0,004140,2017,Q2,2017-08-14,145896603238.0,6183960215.0,11619401678.0,129194241281.0,2017-06-30,0.8096465975666057,2.5415398245468017,0.43090190754329866,9.002329102402236,14.0,79.0,239.0,41.0,93.25,2017-10-31,True,2017-11-01
084690,대상홀딩스,KOSPI,357055624680.0,567090350.0,084690,2017,Q2,2017-08-11,1064401773804.0,70806745236.0,15158328304.0,834133616235.0,2017-06-30,0.16981475441071883,2.9810530915398323,0.7932292936088974,9.344578923606834,215.0,44.0,82.0,36.0,94.25,2017-10-31,True,2017-11-01
037330,인지디스플레,KOSDAQ,71918354920.0,139296775.0,037330,2017,Q2,2017-08-14,167234428867.0,11461628280.0,4649151168.0,114049044595.0,2017-06-30,0.25857939454658485,2.3253372390542997,0.6374800031368681,6.343251022460957,94.0,107.0,114.0,76.0,97.75,2017-10-31,True,2017-11-01
054800,아이디스홀딩스,KOSDAQ,131933889000.0,331150.0,054800,2017,Q2,2017-08-11,469672917267.0,29822646965.0,19972269509.0,102774212921.0,2017-06-30,0.6055235591213415,3.559911110230367,0.9041694197311201,3.1159306740666155,20.0,28.0,64.0,290.0,100.5,2017-10-31,True,2017-11-01
001390,KG케미칼,KOSPI,194451485700.0,1561188750.0,001390,2017,Q2,2017-08-14,558602664331.0,88350166140.0,6776063719.0,336001204211.0,2017-06-30,0.13938826323917358,2.872709675218491,1.8174233191780649,6.911774481978155,302.0,55.0,18.0,66.0,110.25,2017-10-31,True,2017-11-01
018670,SK가스,KOSPI,839348265600.0,2376665400.0,018670,2017,Q2,2017-08-16,1824561763961.0,91404498483.0,90430388891.0,1652505238083.0,2017-06-30,0.4309552665905932,2.173783921095887,0.43559748547361504,7.875182714063143,36.0,127.0,237.0,55.0,113.75,2017-10-31,True,2017-11-01
015750,성우하이텍,KOSDAQ,402600000000.0,1923253130.0,015750,2017,Q2,2017-08-14,1180745587066.0,218093336150.0,12916299446.0,774830590392.0,2017-06-30,0.12832885689021362,2.932800762707402,2.1668488440139098,7.6982671673323395,341.0,48.0,15.0,56.0,115.0,2017-10-31,True,2017-11-01
001040,CJ,KOSPI,5441510127000.0,38507715000.0,001040,2017,Q2,2017-08-14,11670518306000.0,773682933000.0,502249281000.0,6504953550000.0,2017-06-30,0.3691984535747975,2.144720497365712,0.5687266328228227,4.781726688496522,51.0,138.0,143.0,143.0,118.75,2017-10-31,True,2017-11-01
001530,동일방직,KOSPI,129869701600.0,84070200.0,001530,2017,Q2,2017-08-14,532249177788.0,12514941440.0,7577943511.0,230163356106.0,2017-06-30,0.2334014298220271,4.0983321839556766,0.3854614674805721,7.089054745498853,115.0,19.0,278.0,64.0,119.0,2017-10-31,True,2017-11-01
003960,사조대림,KOSPI,143947886250.0,55635050.0,003960,2017,Q2,2017-08-14,274526233116.0,17415576020.0,9077564934.0,244550171499.0,2017-06-30,0.2522458695429437,1.9071223639867794,0.48394113935799454,6.795519625047637,98.0,192.0,200.0,67.0,139.25,2017-10-31,True,2017-11-01
011760,현대상사,KOSPI,292360148600.0,329383750.0,011760,2017,Q2,2017-08-08,431912420998.0,42808495586.0,19443527928.0,1048096141625.0,2017-06-30,0.2660215904405242,1.4773300091214963,0.5856953595213763,14.339794895356679,89.0,367.0,132.0,14.0,150.5,2017-10-31,True,2017-11-01
007540,샘표,KOSPI,92025600000.0,95665000.0,007540,2017,Q2,2017-08-14,215621921609.0,16573335680.0,6374103358.0,66664470533.0,2017-06-30,0.27705783425481606,2.3430645560474477,0.7203793587871201,2.897648938251965,81.0,102.0,97.0,333.0,153.25,2017-10-31,True,2017-11-01
005710,대원산업,KOSDAQ,149680872000.0,81925500.0,005710,2017,Q2,2017-08-14,234186358087.0,44000407553.0,8022310574.0,194651888566.0,2017-06-30,0.21438438904872228,1.5645710434329911,1.1758458369483578,5.201783927768673,137.0,329.0,41.0,122.0,157.25,2017-10-31,True,2017-11-01
000880,한화,KOSPI,2994601463250.0,12059859350.0,000880,2017,Q3,2017-11-14,16194957000000.0,2682265000000.0,283043000000.0,11695462000000.0,2017-09-30,0.37807101008067673,5.408050853759964,3.582800626950839,15.622061424236499,29.0,7.0,7.0,10.0,13.25,2018-04-30,True,2018-05-02
013580,계룡건설,KOSPI,172813050450.0,3159138900.0,013580,2017,Q4,2018-04-02,382329684831.0,131164506613.0,21249375863.0,611692036500.0,2017-12-31,0.49184655458988225,2.2123889592564043,3.0359861427467787,14.158468585727114,20.0,109.0,14.0,13.0,39.0,2018-04-30,True,2018-05-02
