signal_date,year,period,fs_div,completed_codes,expected_codes,ratio,raw_shards,has_raw_shard,signal_complete
2016-04-29,2015,Q3,CFS,0,2077,0.0,0,False,False
2016-04-29,2015,Q3,OFS,0,2077,0.0,0,False,False
2016-04-29,2015,FY,CFS,2077,2077,1.0,2,True,False
2016-04-29,2015,FY,OFS,2077,2077,1.0,3,True,False
2016-10-31,2016,Q1,CFS,2162,2162,1.0,3,True,True
2016-10-31,2016,Q1,OFS,2162,2162,1.0,3,True,True
2016-10-31,2016,H1,CFS,2162,2162,1.0,2,True,True
2016-10-31,2016,H1,OFS,2162,2162,1.0,3,True,True
2017-04-28,2016,Q3,CFS,2162,2162,1.0,3,True,True
2017-04-28,2016,Q3,OFS,2162,2162,1.0,3,True,True
2017-04-28,2016,FY,CFS,2162,2162,1.0,3,True,True
2017-04-28,2016,FY,OFS,2162,2162,1.0,3,True,True
2017-10-31,2017,Q1,CFS,2254,2254,1.0,3,True,True
2017-10-31,2017,Q1,OFS,2254,2254,1.0,3,True,True
2017-10-31,2017,H1,CFS,2254,2254,1.0,3,True,True
2017-10-31,2017,H1,OFS,2254,2254,1.0,3,True,True
2018-04-30,2017,Q3,CFS,2254,2254,1.0,3,True,True
2018-04-30,2017,Q3,OFS,2254,2254,1.0,3,True,True
2018-04-30,2017,FY,CFS,2254,2254,1.0,4,True,True
2018-04-30,2017,FY,OFS,2254,2254,1.0,3,True,True
2018-10-31,2018,Q1,CFS,2321,2321,1.0,3,True,True
2018-10-31,2018,Q1,OFS,2321,2321,1.0,3,True,True
2018-10-31,2018,H1,CFS,2321,2321,1.0,2,True,True
2018-10-31,2018,H1,OFS,2321,2321,1.0,3,True,True
2019-04-30,2018,Q3,CFS,2321,2321,1.0,4,True,True
2019-04-30,2018,Q3,OFS,2321,2321,1.0,3,True,True
2019-04-30,2018,FY,CFS,2321,2321,1.0,4,True,True
2019-04-30,2018,FY,OFS,2321,2321,1.0,3,True,True
2019-10-31,2019,Q1,CFS,2387,2387,1.0,3,True,False
2019-10-31,2019,Q1,OFS,2387,2387,1.0,3,True,False
2019-10-31,2019,H1,CFS,1673,2387,0.7008797653958945,2,True,False
2019-10-31,2019,H1,OFS,0,2387,0.0,0,False,False
2020-04-29,2019,Q3,CFS,0,2387,0.0,0,False,False
2020-04-29,2019,Q3,OFS,0,2387,0.0,0,False,False
2020-04-29,2019,FY,CFS,0,2387,0.0,0,False,False
2020-04-29,2019,FY,OFS,0,2387,0.0,0,False,False
2020-10-30,2020,Q1,CFS,0,2461,0.0,0,False,False
2020-10-30,2020,Q1,OFS,0,2461,0.0,0,False,False
2020-10-30,2020,H1,CFS,0,2461,0.0,0,False,False
2020-10-30,2020,H1,OFS,0,2461,0.0,0,False,False
