year,period,completed_codes,expected_codes,ratio,cfs_ok_codes,cfs_no_data_codes,ofs_fallback_terminal_codes,cfs_raw_shards,ofs_raw_shards,raw_ok,signal_date,signal_complete
2015,Q3,0,2077,0.0,0,1858,0,0,0,True,2016-04-29,False
2015,FY,2077,2077,1.0,1383,694,694,2,3,True,2016-04-29,False
2016,Q1,2162,2162,1.0,1362,800,800,3,3,True,2016-10-31,True
2016,H1,2162,2162,1.0,1404,758,758,2,3,True,2016-10-31,True
2016,Q3,2162,2162,1.0,1422,740,740,3,3,True,2017-04-28,True
2016,FY,2162,2162,1.0,1456,706,706,3,3,True,2017-04-28,True
2017,Q1,2254,2254,1.0,1443,811,811,3,3,True,2017-10-31,True
2017,H1,2254,2254,1.0,1486,768,768,3,3,True,2017-10-31,True
2017,Q3,2254,2254,1.0,1506,748,748,3,3,True,2018-04-30,True
2017,FY,2254,2254,1.0,1544,710,710,4,3,True,2018-04-30,True
2018,Q1,2321,2321,1.0,1555,766,766,3,3,True,2018-10-31,True
2018,H1,2321,2321,1.0,1575,746,746,2,3,True,2018-10-31,True
2018,Q3,2321,2321,1.0,1588,733,733,4,3,True,2019-04-30,True
2018,FY,2321,2321,1.0,1629,692,692,4,3,True,2019-04-30,True
2019,Q1,2387,2387,1.0,1626,761,761,3,3,True,2019-10-31,True
2019,H1,2387,2387,1.0,1637,750,750,3,4,True,2019-10-31,True
2019,Q3,2387,2387,1.0,1668,719,719,3,3,True,2020-04-29,False
2019,FY,1579,2387,0.6614997905320485,1579,531,0,3,0,True,2020-04-29,False
2020,Q1,0,2461,0.0,0,0,0,0,0,True,2020-10-30,False
2020,H1,0,2461,0.0,0,0,0,0,0,True,2020-10-30,False
2020,Q3,0,2461,0.0,0,0,0,0,0,True,2021-04-30,False
2020,FY,0,2461,0.0,0,0,0,0,0,True,2021-04-30,False
2021,Q1,0,2536,0.0,0,0,0,0,0,True,2021-10-29,False
2021,H1,0,2536,0.0,0,0,0,0,0,True,2021-10-29,False
2021,Q3,0,2536,0.0,0,0,0,0,0,True,2022-04-29,False
2021,FY,0,2536,0.0,0,0,0,0,0,True,2022-04-29,False
2022,Q1,0,2622,0.0,0,0,0,0,0,True,2022-10-31,False
2022,H1,0,2622,0.0,0,0,0,0,0,True,2022-10-31,False
2022,Q3,0,2622,0.0,0,0,0,0,0,True,2023-04-28,False
2022,FY,0,2622,0.0,0,0,0,0,0,True,2023-04-28,False
2023,Q1,0,2722,0.0,0,0,0,0,0,True,2023-10-31,False
2023,H1,0,2722,0.0,0,0,0,0,0,True,2023-10-31,False
2023,Q3,0,2722,0.0,0,0,0,0,0,True,2024-04-30,False
2023,FY,0,2722,0.0,0,0,0,0,0,True,2024-04-30,False
2024,Q1,0,2812,0.0,0,0,0,0,0,True,2024-10-31,False
2024,H1,0,2812,0.0,0,0,0,0,0,True,2024-10-31,False
2024,Q3,0,2812,0.0,0,0,0,0,0,True,2025-04-30,False
2024,FY,0,2812,0.0,0,0,0,0,0,True,2025-04-30,False
2025,Q1,0,2867,0.0,0,0,0,0,0,True,2025-10-31,False
2025,H1,0,2867,0.0,0,0,0,0,0,True,2025-10-31,False
2025,Q3,0,2867,0.0,0,0,0,0,0,True,2026-04-30,False
2025,FY,0,2867,0.0,0,0,0,0,0,True,2026-04-30,False
