signal_date,cross_section,factor_rows,missing_equity,missing_revenue_q,missing_net_income_q,missing_ocf_q,valid_four_factor,top_n
2016-10-31,2085,1740,345,358,351,399,1675,20
2016-10-31,2085,1740,345,358,351,399,1675,30
2016-10-31,2085,1740,345,358,351,399,1675,50
2017-04-28,2112,1568,544,597,590,612,1491,20
2017-04-28,2112,1568,544,597,590,612,1491,30
2017-04-28,2112,1568,544,597,590,612,1491,50
2017-10-31,2139,1792,347,355,352,406,1726,20
2017-10-31,2139,1792,347,355,352,406,1726,30
2017-10-31,2139,1792,347,355,352,406,1726,50
2018-04-30,2164,1557,609,659,653,666,1492,20
2018-04-30,2164,1557,609,659,653,666,1492,30
2018-04-30,2164,1557,609,659,653,666,1492,50
2018-10-31,2188,1853,350,357,351,384,1799,20
2018-10-31,2188,1853,350,357,351,384,1799,30
2018-10-31,2188,1853,350,357,351,384,1799,50
2019-04-30,2239,1702,558,618,614,630,1605,20
2019-04-30,2239,1702,558,618,614,630,1605,30
2019-04-30,2239,1702,558,618,614,630,1605,50
2019-10-31,2290,1933,361,366,362,396,1891,20
2019-10-31,2290,1933,361,366,362,396,1891,30
2019-10-31,2290,1933,361,366,362,396,1891,50
2020-04-29,2327,1845,502,575,570,587,1735,20
2020-04-29,2327,1845,502,575,570,587,1735,30
2020-04-29,2327,1845,502,575,570,587,1735,50
2020-10-30,2363,2015,360,369,361,409,1947,20
2020-10-30,2363,2015,360,369,361,409,1947,30
2020-10-30,2363,2015,360,369,361,409,1947,50
2021-04-30,2421,1897,558,646,635,650,1759,20
2021-04-30,2421,1897,558,646,635,650,1759,30
2021-04-30,2421,1897,558,646,635,650,1759,50
